vjdb_id,copy_of,seq_gc,seq_len,cluster_rep
vj000001636264,vj000001636264,0.3622047244094488,762,vj000008031567
vj000001636290,vj000001636290,0.363517060367454,762,vj000008031567
vj000001636300,vj000001636300,0.3602305475504322,694,vj000008031567
vj000001636323,vj000001636323,0.3622047244094488,762,vj000008031567
vj000015565223,vj000015565223,0.3384418901660281,783,vj000013399564
vj000016671848,vj000016671848,0.3409961685823754,783,vj000013399564
vj000016671899,vj000016671899,0.332010582010582,756,vj000013399564
vj000016671906,vj000016671906,0.3359893758300132,753,vj000013399564
vj000016671913,vj000016671913,0.3373173970783532,753,vj000013399564
vj000016671916,vj000016671916,0.3453815261044177,747,vj000013399564
vj000016671924,vj000016671924,0.3410138248847926,651,vj000013399564
vj000016671941,vj000016671941,0.3386666666666666,750,vj000013399564
vj000016671947,vj000016671947,0.3427041499330656,747,vj000013399564
vj000016671949,vj000016671949,0.3498542274052478,686,vj000013399564
vj000016671959,vj000016671959,0.3413014608233731,753,vj000013399564
vj000016671980,vj000016671980,0.3478835978835979,756,vj000013399564
vj000016671993,vj000016671993,0.3443708609271523,755,vj000013399564
vj000016672012,vj000016672012,0.3373173970783532,753,vj000013399564
vj000016672019,vj000016672019,0.3430079155672823,758,vj000013399564
vj000016672020,vj000016672020,0.3364238410596026,755,vj000013399564
vj000016672027,vj000016672027,0.3417218543046357,755,vj000013399564
vj000016672028,vj000016672028,0.3350993377483444,755,vj000013399564
vj000016672037,vj000016672037,0.3364238410596026,755,vj000013399564
vj000016672038,vj000016672038,0.3470198675496688,755,vj000013399564
vj000016672043,vj000016672043,0.3483443708609272,755,vj000013399564
vj000016672047,vj000016672047,0.3443708609271523,755,vj000013399564
vj000016672049,vj000016672049,0.3470198675496688,755,vj000013399564
vj000016672053,vj000016672049,0.3470198675496688,755,vj000013399564
vj000016672054,vj000016672054,0.3364485981308411,749,vj000013399564
vj000016672079,vj000016672079,0.3386243386243386,756,vj000013399564
vj000016672087,vj000016672087,0.3372859025032938,759,vj000013399564
vj000016672091,vj000016672091,0.3373015873015873,756,vj000013399564
vj000016672098,vj000016672098,0.3377483443708609,755,vj000013399564
vj000016672143,vj000016672143,0.3364864864864865,740,vj000013399564
vj000016672452,vj000016672452,0.3390501319261214,758,vj000013399564
vj000016672456,vj000016672456,0.3390957446808511,752,vj000013399564
vj000016672460,vj000016672460,0.3364361702127659,752,vj000013399564
vj000016672464,vj000016672464,0.3377483443708609,755,vj000013399564
vj000016672467,vj000016672467,0.336,750,vj000013399564
vj000016672468,vj000016672468,0.3403693931398417,758,vj000013399564
vj000016672753,vj000016672753,0.3371943371943371,777,vj000013399564
vj000016672764,vj000016672764,0.3424836601307189,765,vj000013399564
vj000016672773,vj000016672773,0.3397683397683397,777,vj000013399564
vj000016672776,vj000016672776,0.3371501272264631,786,vj000013399564
vj000016672788,vj000016672776,0.3371501272264631,786,vj000013399564
vj000016672789,vj000016672789,0.3409669211195928,786,vj000013399564
vj000016672801,vj000016672801,0.3358024691358025,810,vj000013399564
vj000016672807,vj000016672807,0.338403041825095,789,vj000013399564
vj000016671770,vj000016671770,0.3306878306878307,756,vj000013399564
vj000016671777,vj000016671777,0.3333333333333333,771,vj000013399564
vj000016675098,vj000016675098,0.3403973509933775,755,vj000013399564
vj000016675100,vj000016675100,0.3465608465608465,756,vj000013399564
vj000016675111,vj000016675111,0.3386243386243386,756,vj000013399564
vj000016675112,vj000016675112,0.3386243386243386,756,vj000013399564
vj000016675121,vj000016675121,0.3417218543046357,755,vj000013399564
vj000016675139,vj000016675139,0.3364485981308411,749,vj000013399564
vj000007194930,vj000007194930,0.6022240359110386,39208,vj000007194931
vj000007194931,vj000007194931,0.6019658509398591,39474,vj000007194931
vj000015565225,vj000015565225,0.3409669211195928,786,vj000013399564
vj000015565227,vj000015565227,0.337037037037037,810,vj000013399564
vj000015565249,vj000015565249,0.3346007604562737,789,vj000013399564
vj000015565251,vj000015565251,0.341025641025641,780,vj000013399564
vj000015565291,vj000015565291,0.3296432964329643,813,vj000013399564
vj000015565295,vj000015565295,0.3435114503816794,786,vj000013399564
vj000015565302,vj000015565302,0.3259259259259259,810,vj000013399564
vj000015565316,vj000015565316,0.3371356147021546,789,vj000013399564
vj000015565319,vj000015565319,0.3435114503816794,786,vj000013399564
vj000015565322,vj000015565322,0.3396946564885496,786,vj000013399564
vj000015565332,vj000015565332,0.3371794871794872,780,vj000013399564
vj000015565341,vj000015565341,0.3409669211195928,786,vj000013399564
vj000015565354,vj000015565354,0.3409669211195928,786,vj000013399564
vj000015565232,vj000015565251,0.341025641025641,780,vj000013399564
vj000015565261,vj000015565261,0.33203125,768,vj000013399564
vj000015565264,vj000015565264,0.3386243386243386,756,vj000013399564
vj000015565275,vj000015565275,0.3398692810457516,765,vj000013399564
vj000015565284,vj000015565284,0.3409669211195928,786,vj000013399564
vj000010698750,vj000010698750,0.4082173624917163,3018,vj000013399564
vj000008309714,vj000008309714,0.4133504492939666,3116,vj000013399564
vj000008309369,vj000008309369,0.408044001375043,2909,vj000013399564
vj000008309373,vj000008309373,0.4086538461538461,2912,vj000013399564
vj000008309378,vj000008309378,0.4097911674084217,2921,vj000013399564
vj000008309707,vj000008309707,0.4071550255536627,2935,vj000013399564
vj000008309871,vj000008309871,0.4078498293515358,2930,vj000013399564
vj000008309887,vj000008309887,0.4078632478632478,2925,vj000013399564
vj000008309650,vj000008309650,0.4084217733652858,2921,vj000013399564
vj000011720221,vj000011720221,0.335978835978836,756,vj000013399564
vj000011720236,vj000011720236,0.3386243386243386,756,vj000013399564
vj000011720249,vj000011720249,0.3373493975903614,747,vj000013399564
vj000011720261,vj000011720261,0.3373655913978494,744,vj000013399564
vj000011720265,vj000011720265,0.3373333333333333,750,vj000013399564
